soil_moisture,rainfall,temperature,crop_type,irrigation_frequency,land_slope,organic_matter_content,water_category
0.6,1258,24.9,rice,4,0.05,3.12,green
0.48,605,21.3,cotton,5,0.18,3.38,green
0.47,1062,29.5,cotton,2,0.13,1.04,blue
0.32,580,31.0,cotton,4,0.11,2.86,blue
0.67,632,32.7,wheat,2,0.02,4.85,blue
0.6,1296,21.8,soybean,4,0.09,3.08,green
0.33,1399,33.1,cotton,4,0.09,3.71,grey
0.47,637,29.6,wheat,2,0.17,2.25,blue
0.84,683,30.6,soybean,3,0.11,4.1,grey
0.44,900,33.7,rice,1,0.08,4.09,blue
0.39,829,29.4,wheat,5,0.2,3.09,blue
0.59,1284,25.0,corn,4,0.02,4.9,green
0.89,1007,32.4,wheat,5,0.08,1.5,blue
0.45,1351,25.4,wheat,2,0.01,1.07,blue
0.7,1483,20.5,soybean,5,0.15,4.08,green
0.76,568,32.5,rice,2,0.18,4.23,grey
0.44,1045,25.2,corn,5,0.06,1.48,blue
0.74,1273,31.6,cotton,1,0.17,2.06,green
0.52,552,25.4,cotton,1,0.06,1.07,blue
0.68,949,32.9,wheat,1,0.18,2.17,green
0.68,704,23.3,soybean,1,0.15,4.09,grey
0.62,625,34.6,soybean,1,0.16,3.07,grey
0.35,1246,31.7,cotton,1,0.0,2.39,green
0.8,542,21.7,corn,2,0.19,2.49,green
0.49,1251,28.5,rice,4,0.15,1.01,green
0.41,1470,34.8,corn,5,0.06,2.2,grey
0.32,1382,27.1,rice,1,0.17,3.59,blue
0.65,610,22.7,cotton,2,0.06,4.9,grey
0.71,1260,27.3,rice,2,0.17,4.39,green
0.31,1162,27.7,soybean,2,0.02,1.09,green
0.61,682,31.1,wheat,4,0.14,4.59,grey
0.44,1347,30.5,wheat,5,0.11,4.13,green
0.69,594,26.0,cotton,4,0.02,4.12,grey
0.4,1470,23.3,soybean,3,0.05,2.83,green
0.71,873,29.7,corn,2,0.0,2.59,blue
0.53,1411,26.3,soybean,3,0.09,2.21,blue
0.86,1019,22.0,wheat,1,0.06,1.26,green
0.38,1399,33.5,wheat,1,0.12,1.91,grey
0.5,859,30.4,soybean,4,0.06,1.99,blue
0.37,1399,30.2,soybean,5,0.06,2.94,grey
0.85,1195,32.3,wheat,3,0.15,3.99,green
0.83,780,27.9,corn,5,0.01,2.9,grey
0.45,694,32.2,cotton,4,0.18,1.23,blue
0.7,1363,27.5,cotton,1,0.17,4.83,grey
0.79,694,21.0,soybean,5,0.13,4.77,grey
0.63,1166,26.1,cotton,5,0.12,4.14,green
0.62,592,27.5,wheat,1,0.18,4.97,green
0.45,1171,30.8,wheat,3,0.04,3.18,green
0.36,1445,21.6,soybean,1,0.02,4.85,blue
0.84,560,22.1,soybean,5,0.05,1.3,blue
0.84,1133,24.0,soybean,3,0.16,2.46,green
0.68,550,24.0,corn,3,0.01,1.9,green
0.5,902,31.0,cotton,1,0.12,1.78,blue
0.51,1288,23.8,soybean,5,0.2,1.56,blue
0.74,504,29.5,rice,4,0.17,3.49,blue
0.84,965,27.4,rice,5,0.1,4.13,blue
0.83,1103,28.6,wheat,2,0.01,3.31,green
0.77,1181,32.6,cotton,4,0.17,1.59,blue
0.69,1328,26.1,soybean,3,0.12,4.24,green
0.35,1033,31.6,rice,4,0.02,3.54,grey
0.4,904,26.3,cotton,3,0.02,2.55,grey
0.84,1337,25.3,wheat,3,0.18,3.7,blue
0.66,1012,34.4,corn,4,0.13,2.04,grey
0.31,1144,22.8,cotton,3,0.17,2.38,grey
0.36,732,21.4,cotton,3,0.18,4.67,grey
0.7,1023,31.6,corn,2,0.11,2.16,blue
0.3,845,21.0,cotton,5,0.1,2.88,blue
0.4,545,32.6,wheat,5,0.09,4.56,grey
0.63,1045,26.6,wheat,2,0.06,3.83,green
0.72,1444,33.7,corn,4,0.09,1.25,grey
0.69,577,30.8,soybean,1,0.15,1.59,blue
0.43,1229,29.2,rice,1,0.12,1.03,blue
0.73,1312,34.2,soybean,1,0.18,3.52,blue
0.44,1422,25.9,cotton,2,0.09,2.79,grey
0.5,572,34.3,rice,2,0.12,1.54,green
0.75,1293,22.0,corn,3,0.13,4.83,blue
0.69,748,27.3,corn,1,0.12,3.12,blue
0.81,546,24.0,rice,4,0.14,1.97,grey
0.69,620,28.1,wheat,4,0.05,3.0,green
0.64,713,22.4,rice,1,0.1,3.72,grey
0.36,738,32.6,cotton,1,0.02,1.3,blue
0.52,555,32.7,wheat,1,0.08,2.1,green
0.46,849,34.3,corn,2,0.1,4.23,green
0.45,606,22.3,rice,2,0.13,2.84,blue
0.88,1330,29.3,soybean,2,0.19,3.19,green
0.54,547,27.1,soybean,5,0.12,2.73,green
0.84,1072,25.2,cotton,4,0.15,1.18,grey
0.68,836,25.3,soybean,4,0.1,1.66,blue
0.78,525,26.2,rice,3,0.13,2.78,blue
0.6,1303,30.6,rice,2,0.01,1.84,blue
0.65,756,29.0,soybean,5,0.05,1.2,blue
0.6,507,26.9,rice,5,0.07,4.37,blue
0.42,1124,21.1,cotton,4,0.09,4.92,green
0.73,1366,21.2,wheat,2,0.01,4.17,grey
0.47,752,20.0,cotton,3,0.03,4.42,blue
0.31,1191,34.5,cotton,2,0.06,1.97,grey
0.69,1218,20.1,rice,1,0.19,4.84,grey
0.41,802,21.5,wheat,2,0.07,1.79,green
0.86,1138,24.7,rice,1,0.1,4.81,blue
0.87,555,32.1,corn,1,0.04,4.98,green
0.85,1225,34.4,rice,3,0.12,3.85,blue
0.52,1025,31.9,rice,4,0.06,4.92,green
0.31,973,30.4,rice,2,0.04,3.28,grey
0.86,527,27.8,wheat,1,0.1,2.04,blue
0.56,1482,21.3,rice,2,0.0,2.75,grey
0.88,577,34.4,wheat,4,0.0,3.37,grey
0.88,715,31.4,soybean,4,0.04,1.29,green
0.81,885,29.6,corn,5,0.01,3.49,blue
0.48,864,31.4,wheat,4,0.02,4.92,grey
0.53,1165,30.9,soybean,3,0.07,1.76,green
0.81,1025,29.6,wheat,1,0.16,4.17,blue
0.49,1198,34.7,wheat,5,0.11,4.63,blue
0.4,811,33.6,corn,3,0.1,4.77,grey
0.63,1382,29.7,cotton,2,0.06,4.84,blue
0.86,506,30.4,cotton,1,0.19,3.09,grey
0.72,502,20.8,wheat,4,0.08,4.91,blue
0.64,1122,30.0,rice,1,0.02,4.03,green
0.36,1418,20.7,soybean,2,0.12,1.65,grey
0.67,1249,28.8,rice,5,0.02,2.91,grey
0.89,862,35.0,rice,5,0.07,3.87,blue
0.38,1250,28.3,wheat,5,0.1,1.99,blue
0.61,1007,27.1,wheat,4,0.17,3.56,grey
0.83,773,24.7,wheat,3,0.1,3.67,blue
0.74,1005,21.8,wheat,3,0.14,1.65,green
0.72,1305,31.0,cotton,1,0.2,3.26,blue
0.72,1238,22.9,wheat,4,0.03,4.09,green
0.52,1382,21.7,cotton,5,0.05,3.0,green
0.48,514,26.3,cotton,5,0.08,1.05,green
0.79,691,31.9,wheat,2,0.08,1.04,green
0.79,1484,31.2,corn,2,0.08,2.43,green
0.82,1130,20.8,soybean,5,0.18,4.7,blue
0.85,984,26.8,rice,5,0.14,1.91,green
0.61,527,27.8,cotton,4,0.12,3.54,blue
0.6,1213,29.7,soybean,3,0.06,1.89,green
0.78,538,29.8,corn,2,0.16,2.29,grey
0.69,1452,25.5,rice,3,0.19,4.39,green
0.72,772,28.4,rice,4,0.16,3.92,grey
0.78,730,27.2,cotton,5,0.0,1.38,green
0.83,585,33.3,wheat,3,0.13,2.71,green
0.5,973,28.0,corn,5,0.01,1.12,green
0.53,625,26.6,cotton,5,0.05,2.92,grey
0.36,1311,26.1,corn,1,0.01,3.65,grey
0.65,1036,28.6,wheat,3,0.12,1.47,green
0.32,644,32.1,wheat,3,0.14,2.16,blue
0.58,1024,28.1,cotton,5,0.02,2.59,green
0.63,711,29.9,wheat,4,0.08,4.68,grey
0.47,524,31.1,soybean,1,0.09,4.97,green
0.65,1079,27.8,rice,5,0.07,1.18,grey
0.32,893,26.4,cotton,2,0.02,4.04,grey
0.32,566,33.1,corn,2,0.08,2.49,grey
0.79,732,26.3,soybean,1,0.15,2.57,green
0.52,608,26.9,cotton,4,0.01,4.02,grey
0.38,645,34.9,wheat,5,0.02,4.67,grey
0.61,610,20.0,wheat,3,0.07,4.8,green
0.76,727,22.8,wheat,1,0.19,3.31,grey
0.43,610,25.8,wheat,4,0.13,2.43,green
0.67,969,34.0,corn,3,0.14,4.15,grey
0.35,533,21.1,soybean,2,0.07,2.0,blue
0.33,1122,20.1,rice,2,0.12,3.26,blue
0.62,1275,20.8,corn,3,0.0,2.43,grey
0.62,1435,21.3,corn,1,0.13,3.63,blue
0.68,868,20.6,rice,2,0.18,1.96,green
0.74,1247,27.2,rice,5,0.12,1.77,blue
0.89,1094,28.7,wheat,3,0.17,4.67,grey
0.61,1053,24.1,corn,3,0.14,1.41,grey
0.49,924,26.0,cotton,2,0.02,3.02,green
0.78,1112,21.4,rice,1,0.18,1.88,grey
0.46,1017,25.0,rice,5,0.01,1.16,green
0.56,1191,27.8,soybean,1,0.11,1.14,blue
0.35,781,31.0,cotton,4,0.03,1.7,blue
0.32,819,20.1,cotton,4,0.0,4.47,green
0.88,1237,27.0,rice,2,0.08,2.13,green
0.8,942,24.5,wheat,2,0.06,4.8,grey
0.72,1451,32.8,soybean,2,0.1,3.33,blue
0.55,814,30.7,cotton,4,0.12,2.75,green
0.4,1376,28.8,rice,1,0.01,3.32,blue
0.39,1465,24.2,cotton,1,0.02,3.07,green
0.45,1240,33.7,soybean,2,0.11,4.04,blue
0.63,876,20.7,soybean,5,0.07,2.13,grey
0.73,788,21.6,corn,1,0.15,2.41,blue
0.7,936,25.9,rice,4,0.13,4.58,blue
0.47,1161,21.9,soybean,3,0.17,4.79,blue
0.87,776,34.3,corn,3,0.14,4.57,blue
0.74,1209,32.0,corn,3,0.09,2.68,blue
0.63,1081,23.9,cotton,5,0.13,4.12,grey
0.67,1002,28.8,cotton,2,0.06,2.91,green
0.55,1123,34.7,corn,4,0.06,2.99,blue
0.45,1015,33.3,cotton,5,0.16,1.82,grey
0.51,849,29.0,soybean,4,0.09,3.36,blue
0.75,1342,33.6,wheat,4,0.16,1.74,blue
0.31,945,34.8,soybean,2,0.16,2.33,green
0.37,1329,31.2,corn,3,0.17,4.42,blue
0.33,849,21.0,corn,2,0.18,1.83,grey
0.32,1106,26.0,soybean,5,0.09,1.28,grey
0.81,1163,32.6,cotton,5,0.06,1.28,green
0.72,1322,23.5,cotton,5,0.12,4.76,blue
0.58,636,32.5,corn,2,0.07,3.03,grey
0.36,1258,21.8,rice,4,0.12,2.64,blue
0.59,1398,20.7,cotton,4,0.14,4.24,blue
0.58,742,25.8,soybean,1,0.14,4.34,blue
0.4,1042,20.6,cotton,5,0.07,2.33,green
0.56,539,34.4,soybean,4,0.03,3.77,blue
0.54,728,32.4,corn,1,0.09,4.08,grey
0.67,1047,32.0,cotton,4,0.03,3.62,blue
0.68,1419,29.4,soybean,5,0.18,1.61,grey
0.33,722,23.2,corn,3,0.07,4.5,blue
0.52,505,27.8,rice,5,0.03,3.16,grey
0.68,821,29.0,soybean,2,0.01,2.13,grey
0.6,967,27.9,rice,4,0.13,2.7,blue
0.81,1231,23.9,rice,4,0.13,1.15,blue
0.7,574,27.7,wheat,2,0.07,1.51,grey
0.4,503,27.4,cotton,2,0.01,4.06,green
0.34,1346,34.9,soybean,3,0.08,1.0,blue
0.69,1145,33.5,rice,4,0.06,2.67,green
0.32,617,27.0,wheat,4,0.14,3.09,blue
0.65,1380,29.3,corn,3,0.12,1.22,blue
0.86,1105,31.2,soybean,1,0.07,4.89,blue
0.65,1003,20.5,rice,3,0.04,1.9,blue
0.53,1497,33.4,cotton,5,0.2,2.22,green
0.69,1446,32.9,wheat,4,0.09,2.22,blue
0.57,1073,26.9,rice,2,0.14,1.92,grey
0.63,940,25.9,cotton,5,0.03,1.01,grey
0.86,693,24.1,rice,4,0.1,3.92,green
0.53,1346,27.2,soybean,3,0.01,4.87,blue
0.88,1214,20.7,soybean,5,0.1,1.9,grey
0.84,891,32.8,soybean,4,0.19,3.65,green
0.42,525,20.5,wheat,1,0.08,3.97,blue
0.34,934,24.9,soybean,1,0.01,4.39,grey
0.36,672,34.0,cotton,2,0.01,2.69,grey
0.31,799,31.0,rice,4,0.08,2.21,green
0.36,1144,24.2,corn,1,0.03,2.3,blue
0.71,825,23.8,cotton,3,0.0,3.85,blue
0.34,909,20.1,cotton,4,0.15,4.27,grey
0.49,617,30.4,soybean,3,0.09,1.73,grey
0.81,1335,20.7,wheat,3,0.06,2.48,grey
0.31,1286,28.0,rice,1,0.18,4.61,blue
0.79,1223,34.4,wheat,4,0.02,4.23,green
0.47,724,21.6,rice,5,0.19,4.94,green
0.37,1031,33.4,rice,1,0.06,4.02,blue
0.72,612,34.9,wheat,1,0.18,2.57,green
0.68,639,20.9,cotton,4,0.12,3.36,grey
0.83,1058,33.2,rice,4,0.17,3.64,green
0.74,500,27.7,wheat,3,0.2,1.31,green
0.78,589,33.6,rice,4,0.06,3.18,green
0.47,1153,28.6,corn,3,0.19,3.84,grey
0.41,819,29.9,cotton,1,0.08,1.67,blue
0.75,1049,28.2,soybean,2,0.08,4.12,grey
0.78,1304,33.0,rice,5,0.07,3.34,blue
0.89,1393,31.0,corn,1,0.11,4.81,blue
0.55,638,27.8,soybean,4,0.03,1.17,blue
0.52,1010,33.0,soybean,5,0.11,2.06,green
0.77,1367,23.7,rice,2,0.11,3.41,green
0.5,1344,22.4,wheat,2,0.15,2.19,blue
0.86,758,22.4,rice,3,0.17,3.86,blue
0.82,1172,25.0,corn,5,0.09,4.04,green
0.56,1401,23.6,soybean,3,0.06,1.41,grey
0.75,1189,34.0,rice,1,0.05,3.06,blue
0.75,509,21.6,wheat,5,0.04,3.04,grey
0.36,760,30.5,rice,1,0.01,2.48,green
0.84,1418,22.8,cotton,3,0.07,4.73,blue
0.6,1149,33.2,wheat,5,0.05,4.31,grey
0.8,671,34.4,corn,3,0.19,3.79,grey
0.49,1397,27.0,soybean,5,0.11,3.86,grey
0.84,512,33.2,rice,3,0.07,2.85,green
0.53,667,20.1,wheat,2,0.12,4.68,green
0.31,1141,32.3,cotton,3,0.03,3.78,grey
0.84,1095,23.4,wheat,2,0.09,3.92,grey
0.35,820,33.6,cotton,3,0.13,4.45,green
0.49,818,20.0,corn,5,0.1,2.1,grey
0.87,1112,28.3,soybean,5,0.08,4.23,grey
0.87,828,31.3,corn,5,0.2,1.78,green
0.64,1284,23.9,rice,4,0.18,2.38,grey
0.68,1276,22.9,wheat,1,0.12,2.34,grey
0.57,1470,21.3,cotton,5,0.11,4.91,grey
0.48,1410,24.9,cotton,2,0.12,4.43,green
0.5,1419,28.4,wheat,5,0.04,3.8,grey
0.7,1049,21.7,wheat,4,0.08,3.91,green
0.75,918,25.7,rice,2,0.01,3.25,green
0.77,1105,20.1,corn,4,0.1,4.79,blue
0.77,594,32.3,cotton,2,0.11,2.99,blue
0.35,1316,21.9,rice,3,0.05,2.52,grey
0.6,1080,24.3,corn,1,0.19,1.65,green
0.33,817,20.3,rice,1,0.18,4.14,blue
0.63,1455,26.5,cotton,4,0.14,3.94,grey
0.56,735,32.6,wheat,1,0.11,2.54,blue
0.83,1445,25.9,wheat,4,0.17,1.1,blue
0.51,833,22.7,corn,4,0.03,4.36,green
0.37,1384,31.3,soybean,4,0.16,1.05,green
0.39,875,31.8,corn,1,0.02,3.81,blue
0.76,958,22.6,soybean,4,0.16,4.88,blue
0.67,636,31.6,rice,1,0.06,2.75,green
0.36,1429,34.2,rice,4,0.18,1.94,grey
0.35,1087,22.5,cotton,5,0.19,3.82,green
0.72,1494,31.6,soybean,4,0.03,4.27,blue
0.34,1046,30.6,cotton,2,0.09,3.19,grey
0.79,1012,27.1,wheat,4,0.2,4.87,blue
0.72,795,20.9,soybean,3,0.1,1.21,grey
0.35,819,21.1,corn,4,0.17,3.02,blue
0.35,1417,32.8,wheat,2,0.12,3.87,grey
0.89,1071,34.9,wheat,2,0.08,4.45,grey
0.52,1331,30.1,corn,1,0.06,1.72,blue
0.52,848,26.7,wheat,5,0.04,4.2,grey
0.79,1339,29.7,soybean,4,0.15,3.21,green
0.87,1278,28.9,cotton,1,0.08,2.59,blue
0.89,1372,25.8,wheat,5,0.1,1.53,green
0.75,728,21.0,soybean,4,0.1,4.46,blue
0.53,769,32.3,rice,3,0.12,1.63,grey
0.35,1327,25.6,soybean,4,0.17,2.24,grey
0.77,1297,32.3,cotton,2,0.2,2.16,grey
0.64,790,23.8,soybean,2,0.08,4.49,blue
0.55,1224,20.0,corn,3,0.17,3.69,green
0.84,664,22.4,cotton,1,0.15,4.19,green
0.37,504,27.0,rice,5,0.11,2.0,blue
0.6,1350,34.2,corn,4,0.19,3.5,blue
0.31,878,21.5,soybean,2,0.04,3.29,green
0.58,577,32.8,cotton,1,0.02,4.33,green
0.33,909,27.9,rice,3,0.17,4.62,green
0.37,1073,32.4,corn,2,0.09,1.05,green
0.37,631,24.5,rice,3,0.17,3.7,blue
0.69,1100,32.6,soybean,4,0.18,1.21,blue
0.75,1248,31.6,rice,5,0.01,3.2,grey
0.65,541,23.5,wheat,2,0.18,2.15,green
0.88,588,22.0,corn,2,0.09,2.23,grey
0.52,901,33.0,rice,4,0.1,2.41,blue
0.47,795,34.4,soybean,1,0.13,3.49,blue
0.82,1339,20.5,soybean,5,0.19,2.34,grey
0.43,794,31.0,rice,2,0.0,3.93,green
0.88,1115,33.6,soybean,5,0.1,2.62,green
0.31,1025,32.9,cotton,2,0.14,1.27,green
0.88,1299,34.5,cotton,5,0.14,4.14,green
0.33,1190,31.4,cotton,3,0.14,2.14,grey
0.83,1136,26.6,wheat,2,0.03,2.73,grey
0.62,921,24.7,rice,5,0.06,3.74,blue
0.9,1364,24.8,wheat,1,0.07,2.33,green
0.34,522,30.9,soybean,3,0.16,1.23,green
0.63,1074,31.2,wheat,3,0.06,2.5,green
0.88,642,23.0,soybean,1,0.04,4.78,grey
0.61,1492,33.0,soybean,5,0.19,3.57,green
0.68,1164,30.7,corn,4,0.0,3.69,grey
0.72,644,28.4,cotton,1,0.2,3.53,green
0.57,724,27.1,soybean,5,0.14,1.8,green
0.68,1002,28.1,corn,1,0.17,2.67,blue
0.65,1461,22.4,cotton,1,0.06,4.0,green
0.84,1473,23.1,soybean,2,0.0,1.41,green
0.33,1320,21.4,soybean,5,0.15,2.11,blue
0.47,1115,22.3,wheat,4,0.17,2.11,grey
0.87,603,26.8,wheat,2,0.15,2.73,grey
0.83,1446,28.0,cotton,1,0.03,4.92,green
0.57,538,20.3,soybean,1,0.15,1.27,grey
0.67,1446,32.0,rice,1,0.15,3.07,green
0.47,697,24.4,wheat,5,0.13,1.72,blue
0.41,1145,33.7,cotton,5,0.15,4.88,blue
0.58,1078,34.5,soybean,2,0.17,1.45,green
0.51,890,22.8,soybean,4,0.12,2.61,blue
0.65,678,26.9,rice,2,0.02,3.95,blue
0.35,1467,20.0,cotton,3,0.1,3.82,green
0.88,1053,29.0,soybean,1,0.02,2.69,green
0.89,947,29.1,wheat,1,0.08,2.39,blue
